Tipo, Título, Data, Relator, Sumário, Processo, Tipo de Processo, Interessado / Responsável / Recorrente, Entidade, Representante do Ministério Público, Unidade Técnica, Representante Legal, Assunto, Endereço do Arquivo
"ACÓRDÃO", "ACÓRDÃO 801/2026 ATA 10/2026 - PLENÁRIO", "01/04/2026", "BRUNO DANTAS", "REPRESENTAÇÃO. PREGÃO ELETRÔNICO. SECRETARIA DE ESTADO DA EDUCAÇÃO DO ESPÍRITO SANTO (SEDU-ES). CONTRATAÇÃO DE SERVIÇOS DE ALIMENTAÇÃO ESCOLAR. VEDAÇÃO INDEVIDA AO SOMATÓRIO DE ATESTADOS PARA COMPROVAÇÃO DE PARCELAS DE MAIOR RELEVÂNCIA. ANÁLISE RESTRITIVA DA QUALIFICAÇÃO TÉCNICA. AMBIGUIDADE NOS CRITÉRIOS DE HABILITAÇÃO. CONSTATAÇÃO DE RISCO DE SOBREPREÇO SUPERIOR A R$ 25 MILHÕES. PROCEDÊNCIA. ANULAÇÃO DO ATO DE INABILITAÇÃO. DETERMINAÇÃO PARA REANÁLISE DA HABILITAÇÃO DE TODOS OS LICITANTES PARA TODOS OS LOTES. REVOGAÇÃO DE MEDIDA CAUTELAR. ARQUIVAMENTO.", "021.505/2025-0", "REPRESENTAÇÃO (REPR)", "3. Interessados: Básica Fornecimento de Refeições Ltda. (09.152.761/0001-33); Comissaria Aérea Rio de Janeiro Ltda. (42.454.330/0001-05); Secretaria de Estado da Educação do Estado do Espírito Santo (27.080.563/0001-93); Horto Central Marataizes Ltda. (39.818.737/0001-51); L F Sousa Miranda (17.903.116/0001-33).", " Secretaria de Estado da Educação do Estado do Espírito Santo (Sedu-ES).", " não atuou.", " Unidade de Auditoria Especializada em Contratações (AudContratações).", " Kamile Medeiros do Valle (82537/OAB-DF) e Luis Justiniano Haiek Fernandes (119324/OAB-SP), representando Comissaria Aérea Rio de Janeiro Ltda.; Erika Alves Oliver Watermann (181904/OAB-SP), Ariosto Mila Peixoto (125311/OAB-SP) e outros, representando Básica Fornecimento de Refeições Ltda.; Henrique Geaquinto Herkenhoff (20615/OAB-ES) e Ivan Jose do Couto Pinna Barbosa (26929/OAB-ES), representando Cassarotti Foods - Serviços de Refeições Coletivas e Eventos Ltda.; Ricardo Ferreira Valente (6433/OAB-CE), José Lucas Crispim Campos (29669/OAB-CE) e outros, representando L F Sousa Miranda; Fabiana Regina de Carvalho Souza (176887/OAB-MG), representando Horto Central Marataizes Ltda.", "Representação contra possíveis irregularidades ocorridas em pregão eletrônico com objeto relativo a contratação de serviços de alimentação escolar.", "https://contas.tcu.gov.br/sagas/SvlVisualizarRelVotoAc?codFiltro=SAGAS-SESSAO-ENCERRADA&seOcultaPagina=S&item0=907506"
"ACÓRDÃO DE RELAÇÃO", "ACÓRDÃO DE RELAÇÃO 635/2026 ATA 8/2026 - PLENÁRIO", "18/03/2026", "ANTONIO ANASTASIA", "", "000.056/2026-0", "REPRESENTAÇÃO (REPR)", " Secretaria de Controle Interno do Ministério da Defesa.", " Hospital das Forças Armadas.", " não atuou.", " Unidade de Auditoria Especializada em Contratações (AudContratações).", " Roberto Leandro de Carvalho Garcia, representando Mediall Brasil S.a.; Welder Queiroz dos Santos (11711/O/OAB-MT), representando App Serviços Médicos Ltda. ", "REPRESENTAÇÃO. Representação referente à licitação com número 900432025, modalidade Pregão e Uasg 112408 (Objeto: Serviços contínuos de gerenciamento técnico, administrativo e fornecimento de profissionais de saúde especializados para o funcionamento de 20 leitos de UTI do Hospital das Forças Armadas.)", "https://contas.tcu.gov.br/sisdoc/ObterDocumentoSisdoc?codArqCatalogado=32829889"
"ACÓRDÃO DE RELAÇÃO", "ACÓRDÃO DE RELAÇÃO 619/2026 ATA 8/2026 - PLENÁRIO", "18/03/2026", "BENJAMIN ZYMLER", "", "004.426/2026-6", "REPRESENTAÇÃO (REPR)", "", " Polícia Rodoviária Federal.", " não atuou.", " Unidade de Auditoria Especializada em Contratações (AudContratações).", " não há.", "REPRESENTAÇÃO. Representação referente à licitação com número 900412025, modalidade Pregão e Uasg 200109 (Objeto: Registro de preços para futura e eventual contratação de serviços contínuos de gestão integrada de remoção, depósito, guarda de veículos e operacionalização de leilões.)", "https://contas.tcu.gov.br/sisdoc/ObterDocumentoSisdoc?codArqCatalogado=32818532"
"ACÓRDÃO", "ACÓRDÃO 548/2026 ATA 7/2026 - PLENÁRIO", "11/03/2026", "AUGUSTO NARDES", "REPRESENTAÇÃO. APARTADO DE DENÚNCIA. PREGÃO ELETRÔNICO SRP 10/2023. APRESENTAÇÃO DE ATESTADO DE CAPACIDADE TÉCNICA COM CONTEÚDO FALSO. EMPRESA SEM EMPREGADOS REGISTRADOS. CARACTERIZAÇÃO DE EMPRESA DE FACHADA. FRAUDE À LICITAÇÃO. OITIVA. REJEIÇÃO DAS RAZÕES DE JUSTIFICATIVA. PROCEDÊNCIA. DECLARAÇÃO DE INIDONEIDADE. CIÊNCIA.", "000.668/2025-7", "REPRESENTAÇÃO (REPR)", "3. Representante: Tribunal de Contas da União (TCU).", " Distrito Sanitário Especial Indígena do Amapá/Norte do Pará.", " não atuou.", " Unidade de Auditoria Especializada em Contratações (AudContratações).", " não há.", "Representação autuada para apurar possível fraude à licitação em pregão eletrônico para contratação de serviços continuados de natureza comum de apoio administrativo, com dedicação exclusiva de mão de obra.", "https://contas.tcu.gov.br/sagas/SvlVisualizarRelVotoAc?codFiltro=SAGAS-SESSAO-ENCERRADA&seOcultaPagina=S&item0=905066"
"ACÓRDÃO", "ACÓRDÃO 535/2026 ATA 7/2026 - PLENÁRIO", "11/03/2026", "JORGE OLIVEIRA", "REPRESENTAÇÃO DE LICITANTE. FUNDAÇÃO ESCOLA NACIONAL DE ADMINISTRAÇÃO PÚBLICA (ENAP). PREGÃO ELETRÔNICO PARA CONTRATAÇÃO DE SERVIÇOS DE TIC SEM DEDICAÇÃO EXCLUSIVA DE MÃO DE OBRA. TERMO DE REFERÊNCIA CONTENDO PLANILHA ESTRUTURADA SEGUNDO LÓGICA DE DEDICAÇÃO EXCLUSIVA DE MÃO DE OBRA. EXIGÊNCIAS EDITALÍCIAS INCONGRUENTES COM O TIPO DE CONTRATAÇÃO E TÍPICAS DE VÍNCULOS CELETISTAS. DESCLASSIFICAÇÃO DE LICITANTE QUE OFERTOU MELHOR PROPOSTA POR NÃO PREENCHER OS CAMPOS ASSOCIADOS AO REGIME DE CLT DAS PLANILHAS DE CUSTOS. CONCESSÃO DE MEDIDA CAUTELAR. OITIVAS E CONSTRUÇÃO PARTICIPATIVA DE DELIBERAÇÕES. REVOGAÇÃO DO CERTAME POR INICIATIVA DA ENAP. PROCEDÊNCIA PARCIAL. REVOGAÇÃO DA MEDIDA CAUTELAR. CIÊNCIA DE IRREGULARIDADE. ARQUIVAMENTO. COMUNICAÇÕES. A vinculação obrigatória dos valores constantes do Anexo II da Portaria SGD/MGI 750/2023 como remuneração mínima dos profissionais a serem contratados contraria os princípios da competitividade e da economicidade, uma vez que tais valores de referência provêm da mediana saneada de pesquisa de preços de mercado efetuada pela Administração e, portanto, remunerações inferiores não necessariamente indicam a inexequibilidade da proposta da licitante. A exigência de preenchimento obrigatório de planilha de custos e de observância de parâmetros típicos de vínculos celetistas, como salários mínimos por perfil, encargos trabalhistas e provisões, não se coaduna com as contratações de serviços sem dedicação exclusiva de mão de obra, pois compromete a competitividade do certame e a autonomia empresarial das licitantes.", "021.772/2025-8", "REPRESENTAÇÃO (REPR)", "3. Representante: R5 Inteligência Digital Ltda.<br>3.1. Interessada: Logiks Consultoria e Serviços em Tecnologia da Informação Ltda. (07.696.132/0001-49)", " Fundação Escola Nacional de Administração Pública", " não atuou", " Unidade de Auditoria Especializada em Contratações (AudContratações)", " Elaine Nogueira da Silva (OAB/DF 29.371), representando R5 Inteligência Digital Ltda.", "Representação acerca de possíveis irregularidades em pregão eletrônico que teve por objeto a contratação de serviços de qualidade em desenvolvimento, manutenção, sustentação, testes de software e apoio à governança de TIC.", "https://contas.tcu.gov.br/sagas/SvlVisualizarRelVotoAc?codFiltro=SAGAS-SESSAO-ENCERRADA&seOcultaPagina=S&item0=905959"
"ACÓRDÃO DE RELAÇÃO", "ACÓRDÃO DE RELAÇÃO 1247/2026 ATA 6/2026 - SEGUNDA CÂMARA", "10/03/2026", "MARCOS BEMQUERER", "", "029.666/2020-1", "REPRESENTAÇÃO (REPR)", " MG Terceirização de Serviços Ltda (01.278.154/0001-02).", " Senado Federal.", " não atuou.", " Unidade de Auditoria Especializada em Contratações (AudContratações).", " Monique Rafaella Rocha Furtado (34131/OAB-DF), representando El Dorado Servicos Profissionais Eireli. ", "REPRESENTAÇÃO. Objeto do processo:Licitação: 084/2020 - Contratação de empresa para prestação de serviços com disponibilização de mão de obra em regime de dedicação exclusiva, nas categorias de contínuo, copeiro, garçom, cozinheiro, arrumador, lavador/passador, ajudante de cozinha, auxiliar de serviços gerais, chaveiro, apoio administrativo e de encarregado setorial para o Senado Federal.", "https://contas.tcu.gov.br/sisdoc/ObterDocumentoSisdoc?codArqCatalogado=32332424"
"ACÓRDÃO DE RELAÇÃO", "ACÓRDÃO DE RELAÇÃO 1192/2026 ATA 6/2026 - SEGUNDA CÂMARA", "10/03/2026", "JORGE OLIVEIRA", "", "023.377/2025-9", "REPRESENTAÇÃO (REPR)", " Senhorita Serviços Especializados Ltda. (14.240.775/0001-49)", " Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira", " não atuou", " Unidade de Auditoria Especializada em Contratações (AudContratações)", " Gessica de Lima Silva Cruzeiro de Andrade, representando Senhorita Serviços Especializados Ltda. ", "REPRESENTAÇÃO. Representação referente à licitação com número 900292025, modalidade Pregão e Uasg 153978 (Objeto: contratação de serviços contínuos de copeiragem, compreendendo o fornecimento de materiais, a serem executados com regime de dedicação exclusiva de mão de obra.)", "https://contas.tcu.gov.br/sisdoc/ObterDocumentoSisdoc?codArqCatalogado=32783764"
"ACÓRDÃO", "ACÓRDÃO 469/2026 ATA 6/2026 - PLENÁRIO", "04/03/2026", "WEDER DE OLIVEIRA", "DENÚNCIA. CONSELHO REGIONAL DE ADMINISTRAÇÃO DO ESTADO DO RIO GRANDE DO SUL. POSSÍVEIS CLÁUSULAS RESTRITIVAS NO EDITAL PARA CONTRATAÇÃO DE SERVIÇOS ADVOCATÍCIOS. CONHECIMENTO. PROCEDÊNCIA PARCIAL. DETERMINAÇÃO PARA REALIZAÇÃO DE NOVO CERTAME. ESTRUTURA INADEQUEADA DA PROCURADORIA JURÍDICA. DETERMINAÇÃO PARA ELABORAÇÃO DE PLANO DE AÇÃO. COMUNICAÇÕES.", "026.551/2024-1", "DENÚNCIA (DEN)", "3. Interessados/Responsáveis:<br>3.1. Interessado: Identidade preservada (art. 55, caput, da Lei n. 8.443/1992).<br>3.2. Responsável: Identidade preservada (art. 55, caput, da Lei n. 8.443/1992).", " Conselho Regional de Administração do Rio Grande do Sul.", " não atuou.", " Unidade de Auditoria Especializada em Contratações (AudContratações).", " não há", "Denúncia a respeito de supostas irregularidades em concorrência para contratação de prestação de serviços advocatícios e técnicos de natureza jurídica.", "https://contas.tcu.gov.br/sagas/SvlVisualizarRelVotoAc?codFiltro=SAGAS-SESSAO-ENCERRADA&seOcultaPagina=S&item0=902452"
"ACÓRDÃO", "ACÓRDÃO 413/2026 ATA 5/2026 - PLENÁRIO", "25/02/2026", "AUGUSTO NARDES", "AUDITORIA OPERACIONAL. AVALIAÇÃO DA POLÍTICA DE COTAS PARA A CONTRATAÇÃO DE MULHERES VÍTIMAS DE VIOLÊNCIA DOMÉSTICA. POLÍTICA PÚBLICA INSTITUÍDA PELA LEI 14.133/2021 E REGULAMENTADA PELO DECRETO 11.430/2023. IDENTIFICAÇÃO DE FRAGILIDADES NO DESENHO, NA IMPLEMENTAÇÃO E NA EXECUÇÃO DA POLÍTICA ESTATAL. RECOMENDAÇÃO. FUTURO MONITORAMENTO. ARQUIVAMENTO.", "008.885/2025-7", "RELATÓRIO DE AUDITORIA (RA)", "3. Interessado: Tribunal de Contas da União (TCU).", " Ministério da Gestão e da Inovação em Serviços Públicos (MGI) e Ministério das Mulheres (MM).", " Procuradora-Geral Cristina Machado da Costa e Silva (manifestação oral).", " Unidade de Auditoria Especializada em Contratações (AudContratações).", " não há.", "Auditoria operacional realizada para avaliar a política de cotas para a contratação de mulheres vítimas de violência doméstica, instituída pela Lei 14.133/2021.", "https://contas.tcu.gov.br/sagas/SvlVisualizarRelVotoAc?codFiltro=SAGAS-SESSAO-ENCERRADA&seOcultaPagina=S&item0=903344"
"ACÓRDÃO DE RELAÇÃO", "ACÓRDÃO DE RELAÇÃO 387/2026 ATA 5/2026 - PLENÁRIO", "25/02/2026", "ANTONIO ANASTASIA", "", "001.067/2026-5", "REPRESENTAÇÃO (REPR)", " Paraíso Comércio e Serviços Ltda.", " Banco Central do Brasil.", " não atuou.", " Unidade de Auditoria Especializada em Contratações (AudContratações).", " Erivaldo Morais de Oliveira, representando Paraíso Comércio e Serviços Ltda. ", "REPRESENTAÇÃO. Representação referente à licitação com número 901212025, modalidade Pregão e Uasg 179087 (Objeto: Contratação de serviços contínuos de secretariado, recepção e apoio administrativo, a serem executados com regime de dedicação exclusiva de mão de obra.)", "https://contas.tcu.gov.br/sisdoc/ObterDocumentoSisdoc?codArqCatalogado=32691036"
